gender,count
Documentary,56251
Drama,42007
Comedy,27696
Reality-TV,9716
Talk-Show,8330
Horror,7083
"Comedy,Drama",5540
Thriller,5162
Action,4404
"Drama,Romance",3858
Animation,3814
Family,3453
Romance,3295
Sport,2852
Music,2753
Crime,2499
"Comedy,Drama,Romance",2380
"Comedy,Romance",2325
Adult,2078
News,2050
"Drama,Thriller",2046
Adventure,1854
"Biography,Documentary",1741
Sci-Fi,1714
Game-Show,1609
"Documentary,Music",1548
"Horror,Thriller",1519
"Crime,Drama",1455
"Documentary,History",1277
Fantasy,1263
"Action,Crime,Drama",1253
Mystery,1202
Biography,1169
"Action,Adventure,Animation",1164
History,1112
"Documentary,Sport",1111
"Crime,Drama,Thriller",1059
"Comedy,Horror",1001
"Documentary,Drama",928
"Drama,Family",927
"Crime,Drama,Mystery",915
Musical,859
"Action,Drama",825
"Biography,Documentary,History",819
"Adventure,Animation,Comedy",795
"Comedy,Drama,Family",683
Short,669
"Action,Comedy",667
"Action,Adventure,Comedy",666
"Horror,Mystery,Thriller",651
"Drama,Mystery,Thriller",650
"Action,Thriller",645
"Crime,Documentary",621
"Comedy,Crime,Drama",603
"Drama,Horror,Mystery",598
"Drama,Mystery",572
"Drama,Horror,Thriller",548
"Comedy,Family",545
"Action,Adventure,Drama",542
"Animation,Comedy",533
"Drama,History",532
"Crime,Thriller",528
"Comedy,Talk-Show",506
"Biography,Documentary,Music",502
"Biography,Documentary,Drama",472
"Action,Drama,Thriller",465
"News,Talk-Show",460
"Comedy,Short",433
"Action,Comedy,Crime",432
"Comedy,Drama,Fantasy",431
"Action,Crime,Thriller",430
"Comedy,Crime",424
"Biography,Drama",421
"Action,Comedy,Drama",405
"Drama,Fantasy",405
"Mystery,Thriller",400
"Drama,Horror",399
"Biography,Drama,History",398
"Comedy,Documentary",386
"Game-Show,Reality-TV",385
"Documentary,Reality-TV",371
"Drama,Sci-Fi",360
"Adventure,Documentary",359
"Animation,Family",359
"Comedy,Reality-TV",319
"Adventure,Comedy,Drama",307
"Drama,Sport",285
"Drama,War",284
Western,284
"Animation,Comedy,Family",283
"Drama,Music",280
"Drama,Fantasy,Horror",279
"Action,Drama,Romance",270
"Documentary,History,War",270
"Drama,Family,Romance",270
War,269
"Horror,Mystery",265
"Documentary,Family",261
"Adventure,Comedy",260
"Animation,Comedy,Drama",258
"Comedy,Fantasy",255
"Action,Adventure,Fantasy",253
"Drama,Romance,Thriller",251
"Action,Animation,Comedy",250
"Drama,Mystery,Romance",250
"Comedy,Sci-Fi",245
"Documentary,News",245
"Comedy,Drama,Music",243
"Adventure,Comedy,Family",241
"Crime,Mystery,Thriller",240
"Comedy,Thriller",231
"Adventure,Drama",230
"Action,Crime",221
"Adventure,Animation,Family",217
"Crime,Drama,Romance",216
"Action,Drama,History",214
"Biography,Documentary,Sport",210
"Sci-Fi,Thriller",208
"Drama,Fantasy,Romance",206
"Comedy,Drama,Mystery",200
"Documentary,War",198
"Documentary,Short",195
"Drama,History,Romance",192
"Action,Adventure,Crime",191
"Action,Adventure,Sci-Fi",190
"Comedy,Drama,Thriller",187
"Comedy,Drama,Horror",186
"Documentary,Drama,History",186
"Biography,Documentary,Family",182
"Biography,Comedy,Documentary",179
"Action,Adventure",177
"Animation,Comedy,Fantasy",177
"Drama,Sci-Fi,Thriller",173
"Drama,Fantasy,Mystery",172
"Action,Comedy,Horror",171
"Action,Sci-Fi",169
"Crime,Drama,Horror",167
"Drama,Musical",165
"Drama,History,War",164
"Comedy,Horror,Thriller",163
"Comedy,Game-Show",160
"Sport,Talk-Show",159
"Action,Drama,Fantasy",158
"Horror,Sci-Fi",158
"Comedy,Music",156
"Comedy,Fantasy,Horror",152
"Animation,Documentary",151
"Comedy,Documentary,Drama",151
"Documentary,Drama,Family",150
"Documentary,History,Music",149
"Drama,Mystery,Sci-Fi",149
"Action,Horror,Thriller",148
"Horror,Sci-Fi,Thriller",148
"Comedy,Fantasy,Romance",146
"Comedy,Drama,Musical",144
"Adventure,Biography,Documentary",142
"Music,Talk-Show",142
"Adventure,Drama,Family",140
"Documentary,History,News",140
"Action,Animation,Drama",139
"Action,Animation,Fantasy",138
"Action,Horror",137
"Adventure,Drama,Fantasy",137
"Adventure,Family",136
"Biography,Comedy,Drama",136
"Biography,Crime,Drama",135
"Documentary,Horror",133
"Music,Reality-TV",133
"Comedy,Horror,Mystery",132
"Romance,Thriller",132
"Comedy,Drama,Sci-Fi",130
"Adventure,Comedy,Fantasy",128
"Drama,Music,Romance",127
"Comedy,Musical",123
"Adventure,Fantasy",122
"Biography,Drama,Music",122
"Crime,Horror,Thriller",121
"Adventure,Documentary,Drama",119
"Action,Drama,Sci-Fi",117
"Fantasy,Horror,Mystery",116
"Action,Sci-Fi,Thriller",115
"Comedy,Sport",115
"Crime,Documentary,Drama",115
"Fantasy,Horror",115
"Action,Drama,Horror",114
"Comedy,Horror,Sci-Fi",113
"Adventure,Family,Fantasy",112
"Biography,Crime,Documentary",112
"Comedy,Mystery",112
"Reality-TV,Talk-Show",112
"Biography,Drama,Sport",111
"Action,Horror,Sci-Fi",110
"Adventure,Animation,Fantasy",110
"Action,Fantasy",107
"Comedy,Drama,Sport",106
"Comedy,Family,Fantasy",104
"Action,Drama,Mystery",102
"Adventure,Reality-TV",101
"Crime,Mystery",101
"Comedy,Crime,Mystery",100
"Drama,Horror,Sci-Fi",99
"Action,Comedy,Romance",97
"Reality-TV,Romance",97
"Adventure,Animation",96
"Action,Romance",95
"Action,Adventure,Thriller",93
"Comedy,Crime,Thriller",93
"Crime,Horror,Mystery",93
"Action,Animation,Sci-Fi",92
"Comedy,Family,Romance",92
"Adventure,Documentary,History",90
"Documentary,Talk-Show",90
"Action,Adventure,Horror",88
"Comedy,News,Talk-Show",87
"Action,Crime,Mystery",86
"Adventure,Animation,Drama",86
"Biography,Drama,Romance",86
"Action,Comedy,Fantasy",85
"Horror,Mystery,Sci-Fi",85
"Action,Drama,Sport",84
"Action,Drama,War",84
"Action,Adventure,Documentary",83
"Drama,Musical,Romance",83
"Documentary,History,Sport",80
"Drama,Family,Fantasy",80
"Action,Comedy,Thriller",79
"Action,Biography,Drama",78
"Animation,Comedy,Romance",78
"Adventure,Documentary,Sport",77
"Crime,Drama,Family",77
"Documentary,Musical",77
"Drama,Romance,Sci-Fi",77
"Adventure,Comedy,Documentary",76
"Comedy,Drama,History",76
"Crime,Drama,Fantasy",75
"Fantasy,Romance",75
"Drama,Western",74
"Animation,Fantasy",73
"Crime,Documentary,History",73
"Action,Comedy,Sci-Fi",72
"Comedy,News",72
"Animation,Family,Fantasy",70
"Adventure,Drama,Mystery",68
"Animation,Drama,Fantasy",68
"Crime,Drama,History",67
"Drama,Fantasy,Sci-Fi",67
"Drama,History,Thriller",67
"Reality-TV,Sport",67
"Animation,Sci-Fi",66
"Family,Reality-TV",66
"Game-Show,Music",66
"Adventure,Drama,Sci-Fi",65
"Action,Fantasy,Horror",64
"Animation,Comedy,Short",64
"Family,Fantasy",64
"Action,Adventure,Family",63
"Adventure,Sci-Fi",63
"Fantasy,Sci-Fi",63
"Action,Fantasy,Sci-Fi",62
"Adventure,Drama,Romance",62
"Drama,Short",62
"Action,Animation",61
"Documentary,Drama,News",61
"Documentary,Family,History",61
"Adventure,Documentary,Family",60
"Animation,Comedy,Sci-Fi",60
"Drama,Fantasy,Thriller",60
"Fantasy,Horror,Thriller",60
"Animation,Drama",59
"Adventure,Comedy,Crime",58
"Animation,Biography,Documentary",58
"Comedy,Music,Romance",57
"Short,Talk-Show",57
"Action,Mystery,Thriller",56
"Adventure,Comedy,Horror",56
"Animation,Short",56
"Documentary,Sci-Fi",56
"Drama,Horror,Romance",56
"Fantasy,Thriller",55
"Adventure,Drama,Thriller",54
"Documentary,Drama,Sport",54
"Game-Show,Music,Reality-TV",54
"Mystery,Sci-Fi,Thriller",54
"Adventure,Biography,Drama",52
"Comedy,History",52
"Comedy,Mystery,Thriller",51
"Documentary,Drama,Music",51
"Drama,Romance,Sport",51
"Action,Horror,Mystery",50
"Adventure,Comedy,Sci-Fi",50
"Biography,History",50
"Drama,History,Mystery",50
"Drama,Romance,War",50
"Adventure,Drama,History",49
"Comedy,Musical,Romance",49
"Family,Game-Show",49
"Action,Drama,Family",48
"Animation,Documentary,History",48
"Documentary,Mystery",48
"Drama,Family,Sport",48
"Action,Animation,Crime",47
"Comedy,Documentary,History",47
"Adventure,Crime,Drama",46
"Comedy,Music,Talk-Show",46
"Adventure,Comedy,Romance",45
"Biography,Documentary,News",45
"Comedy,Documentary,Family",45
"Action,Romance,Thriller",44
"Animation,Sport",44
"Comedy,Family,Musical",44
"Mystery,Sci-Fi",44
"News,Short",44
"Documentary,Drama,War",43
"Documentary,Fantasy",43
"Drama,Reality-TV",43
"Fantasy,Horror,Sci-Fi",43
"News,Sport,Talk-Show",43
"Adventure,Drama,Horror",42
"Action,Comedy,Family",41
"Comedy,Drama,Short",41
"Comedy,Horror,Romance",41
"Comedy,Romance,Sci-Fi",41
"Family,Romance",41
